ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7221635,Source1,2,2020-01-14 00:41:00,2020-01-14 03:54:09,45.5116,-92.99298,45.5116,-92.99298,0.0,At MN-95/Exit 147 - Accident.,I-35 N,North Branch,Chisago,MN,55056,US,US/Central,KROS,2020-01-14 00:35:00,26.0,17.0,93.0,28.96,3.0,SSE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2964547,Source2,2,2018-03-23 07:43:01,2018-03-23 08:12:36,40.360512,-79.907692,,,0.0,Restrictions due to accident on Buttermilk Hollow Rd at Thompson Run Rd.,Buttermilk Hollow Rd,West Mifflin,Allegheny,PA,15122-1103,US,US/Eastern,KAGC,2018-03-23 07:53:00,26.1,21.9,63.0,30.24,10.0,NW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-4978332,Source1,2,2022-04-27 15:47:00,2022-04-27 17:26:03,32.991182,-117.210233,32.991561,-117.211458,0.076,Incident on CANCHA DE GOLF near HOUSE 5690 Drive with caution.,Via Osuna,Rancho Santa Fe,San Diego,CA,92091,US,US/Pacific,KCRQ,2022-04-27 15:53:00,61.0,61.0,67.0,29.61,9.0,SW,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5188099,Source1,2,2022-08-21 06:40:30,2022-08-21 07:23:00,30.209486,-89.795661,30.18231,-89.824218,2.537,Stationary traffic on I-10 W from Oak Harbor Blvd (I-10) to US-11 (I-10) due to accident.,I-10 W,New Orleans,St. Tammany,LA,70129,US,US/Central,KNEW,2022-08-21 06:53:00,81.0,81.0,91.0,30.07,10.0,ESE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2577472,Source2,2,2018-09-11 08:16:17,2018-09-11 08:46:07,35.975361,-86.645889,,,0.0,Accident on McFarlin Rd at Kidd Rd.,McFarlin Rd,Nolensville,Williamson,TN,37135,US,US/Central,KMQY,2018-09-11 07:56:00,64.9,,87.0,29.89,10.0,NNE,6.9,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4636068,Source1,2,2022-03-22 08:11:25,2022-03-22 09:50:27,38.42450022679128,-77.4196779724244,38.45774022679127,-77.40834797242442,2.377,Incident on I-95 NB near MM 142 Drive with caution.,I-95,Stafford,Stafford,VA,22554,US,US/Eastern,KRMN,2022-03-22 08:15:00,44.0,44.0,79.0,29.98,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-640922,Source2,2,2022-04-22 12:48:26,2022-04-22 13:33:38,35.34877,-97.529953,,,0.0,Crash on Western Ave near 119th St.,S Western Ave,Oklahoma City,Cleveland,OK,73170-5900,US,US/Central,KOKC,2022-04-22 12:52:00,74.0,74.0,68.0,28.65,10.0,S,23.0,0.0,Cloudy / Windy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-513526,Source2,2,2022-09-07 17:47:35,2022-09-07 18:47:05,42.561768,-71.29819499999998,,,0.0,Lane blocked due to crash and fuel spillage on US-3 Northbound before Exit 78 Treble Cove Rd.,US-3 N,North Billerica,Middlesex,MA,01862,US,US/Eastern,KBED,2022-09-07 17:51:00,71.0,71.0,53.0,29.85,10.0,ENE,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-787339,Source3,3,2021-12-08 05:01:58,2021-12-08 07:42:33,35.237194,-80.854927,,,0.0,Left lane blocked due to accident on I-77 Southbound after Exit 10C 5th St.,I-77 S,Charlotte,Mecklenburg,NC,28216,US,US/Eastern,KCLT,2021-12-08 05:00:00,40.0,40.0,93.0,29.23,1.0,VAR,3.0,0.05,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6051707,Source1,2,2021-10-09 15:52:04,2021-10-09 17:12:52,42.741664,-73.652872,42.74191500000001,-73.651848,0.055,NYSDOT TMC - Albany: Crash on NY 7 near Leonard Avenue (Troy) right shoulder closed, Leonard Ave,Troy,Rensselaer,NY,12180-6737,US,US/Eastern,KALB,2021-10-09 15:51:00,67.0,67.0,54.0,29.94,10.0,SE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-667963,Source2,3,2022-03-22 18:51:15,2022-03-22 19:43:41,33.790718,-78.99678,,,0.0,Left lane blocked due to crash on US-501 Northbound at Singleton Ridge Rd.,US-501,Conway,Horry,SC,29526,US,US/Eastern,KHYW,2022-03-22 18:55:00,64.0,64.0,64.0,30.09,10.0,SSE,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7704632,Source1,4,2019-04-06 07:16:01,2019-04-06 18:25:00,44.062361,-123.049585,44.0624,-123.050137,0.028,Closed at I-5/OR-126 - Road closed due to accident.,I-5 S,Springfield,Lane,OR,97477,US,US/Pacific,KEUG,2019-04-06 06:54:00,48.0,42.0,80.0,29.33,10.0,S,14.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-189470,Source2,2,2016-10-18 17:38:19,2016-10-18 18:08:07,42.973778,-83.712906,,,0.01,Accident on Bristol Rd near Van Slyke Rd.,W Bristol Rd,Flint,Genesee,MI,48507-3226,US,US/Eastern,KFNT,2016-10-18 17:53:00,70.0,,65.0,29.72,10.0,West,13.8,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5876530,Source1,2,2021-05-26 07:00:00,2021-05-26 07:43:30,26.625007,-81.715533,26.616977,-81.714786,0.557,Stationary traffic on County Hwy-876 from Buckingham Rd (Gunnery Rd) to FL-884/Lee Blvd (Gunnery Rd) due to accident., Gunnery Rd N,Lehigh Acres,Lee,FL,33971-4909,US,US/Eastern,KRSW,2021-05-26 06:53:00,64.0,64.0,93.0,30.16,8.0,NE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7486092,Source1,2,2018-12-18 01:24:42,2018-12-18 05:24:42,44.16056,-121.25876,44.16056,-121.25876,0.0,At Tumalo Rd/Deschutes Market Rd - Accident., N Highway 97,Bend,Deschutes,OR,97703,US,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2316959,Source2,3,2019-01-04 13:38:05,2019-01-04 14:07:42,40.427761,-79.891373,,,0.0,Lane blocked due to accident on I-376 Westbound at Exit 77 Monongahela Ave.,S Braddock Ave,Pittsburgh,Allegheny,PA,15218,US,US/Eastern,KAGC,2019-01-04 13:53:00,39.0,,82.0,29.85,8.0,Calm,,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7307294,Source1,2,2019-12-10 07:34:34,2019-12-10 08:04:10,28.17606,-82.39201,28.16451,-82.39936999999998,0.915,At I-275/Exit 274 - Accident. Right lane blocked.,I-75 S,Wesley Chapel,Pasco,FL,33544,US,US/Eastern,KVDF,2019-12-10 07:35:00,59.0,59.0,100.0,30.09,2.0,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2490901,Source2,2,2018-10-01 04:34:17,2018-10-01 05:03:50,35.761417,-119.238922,,,0.0,Accident on CA-155 Garces Hwy at Norwalk St.,Garces Hwy,Delano,Kern,CA,93215,US,US/Pacific,KPTV,2018-10-01 04:56:00,57.9,,75.0,29.9,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6545259,Source1,2,2021-01-30 15:14:23.000000000,2021-01-30 18:14:48.000000000,45.302065,-121.7462,45.302368,-121.746205,0.021,A crash has occurred at East Government Camp Loop use caution.,E Government Camp Loop,Government Camp,Clackamas,OR,97028,US,US/Pacific,KCZK,2021-01-30 14:53:00,46.0,39.0,79.0,29.9,10.0,E,17.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4590165,Source1,2,2022-10-14 22:27:17,2022-10-15 00:38:01,40.846059,-73.930479,40.851604,-73.952048,1.1909999999999998,Port Authority NY/NJ: Crash on George Washington Bridge Upper Level westbound Upper Trans Manhattan Expressway (Manhattan) 1 Center lane of 3 lanes blocked,I-95 S,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-10-14 22:51:00,59.0,59.0,58.0,29.91,10.0,NNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5623799,Source1,2,2021-11-10 22:33:19,2021-11-11 01:24:19,37.871369,-75.558504,37.870333,-75.558352,0.072,Incident on US-13 SB near LANKFORD HWY Left lane blocked., Hallwood Rd,Hallwood,Accomack,VA,23359-2346,US,US/Eastern,KWAL,2021-11-10 22:54:00,51.0,51.0,96.0,30.19,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7528000,Source1,2,2018-10-30 16:24:01,2018-10-30 16:53:26,34.33692,-117.25912,34.33692,-117.25912,0.0,At Grass Valley Rd - Accident., State Highway 173,Hesperia,San Bernardino,CA,92345,US,US/Pacific,KVCV,2018-10-30 16:50:00,,,,29.99,10.0,North,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3116516,Source2,2,2017-12-08 16:00:56,2017-12-08 16:30:25,41.751995,-87.96725500000002,,,0.0,Accident on Plainfield Rd at 75th St.,75th St,Darien,DuPage,IL,60561,US,US/Central,KLOT,2017-12-08 15:55:00,34.0,26.6,46.0,29.89,10.0,WSW,9.2,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-378128,Source2,3,2017-02-16 17:50:07,2017-02-16 18:19:46,38.802006,-77.163635,,,0.01,Right hand shoulder closed due to accident on I-395 Northbound before Exits 2A 2B Edsall Rd.,I-395 N,Alexandria,Fairfax County,VA,22312,US,US/Eastern,KDCA,2017-02-16 17:52:00,37.0,28.1,39.0,29.87,10.0,NW,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2483463,Source2,2,2018-11-27 07:32:44,2018-11-27 08:02:18,31.776508000000003,-106.225082,,,0.0,Accident on Tim Foster St at Charles Foster Ave.,Charles Foster Ave,El Paso,El Paso,TX,79938,US,US/Mountain,KELP,2018-11-27 07:51:00,37.9,35.5,41.0,30.2,10.0,NNE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2431240,Source2,3,2018-11-04 22:41:28,2018-11-04 23:11:06,25.98505,-80.16546600000002,,,0.0,Two lanes blocked due to accident on I-95 Northbound at Exits 18 19 FL-858 Hallandale Beach Blvd.,W Hallandale Beach Blvd,Hallandale,Broward,FL,33009,US,US/Eastern,KFLL,2018-11-04 22:53:00,80.1,,74.0,30.09,10.0,ESE,16.1,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-309036,Source2,2,2016-10-26 12:46:56,2016-10-26 13:16:38,47.635887,-122.228004,,,0.01,Right lane blocked due to accident on WA-520 Westbound at 84th Ave.,WA-520 E,Bellevue,King,WA,98004,US,US/Pacific,KBFI,2016-10-26 12:53:00,55.9,,97.0,29.77,9.0,SSE,3.5,0.04,Light Rain,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4856900,Source1,2,2022-10-15 11:28:00,2022-10-15 14:33:10,34.44978833,-118.42359424,34.44888833,-118.42236424,0.094,Accident on Sand Canyon Rd from Sierra Hwy to Thompson Ranch Dr., Sierra Hwy,Canyon Country,Los Angeles,CA,91351-1415,US,US/Pacific,K3A6,2022-10-15 11:51:00,70.0,70.0,71.0,29.07,10.0,E,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6200394,Source1,2,2021-09-26 15:17:30,2021-09-26 17:30:00,38.913531,-76.850453,38.945395,-76.858135,2.24,Stationary traffic on I-495 N - I-95 N from Arena Dr/Exit 16 (Capital Beltway/I-495) to US-50/Exit 19 (Capital Beltway/I-495) due to accident.,Capital Beltway N,Upper Marlboro,Prince George's,MD,20774,US,US/Eastern,KADW,2021-09-26 15:26:00,73.0,73.0,33.0,29.68,10.0,NW,15.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4708908,Source1,2,2022-02-27 18:32:30,2022-02-27 19:19:00,34.076692,-118.219389,34.061355,-118.21546200000002,1.083,Slow traffic on Golden State Fwy S - I-5 S from Humboldt St (I-5) to Mission Rd (I-5) due to accident.,Golden State Fwy S,Los Angeles,Los Angeles,CA,90031,US,US/Pacific,KCQT,2022-02-27 18:47:00,62.0,62.0,24.0,29.96,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-6665540,Source1,2,2020-10-29 23:17:48,2020-10-30 00:42:46,42.935804,-78.904033,42.947914,-78.90888299999997,0.872,Stationary traffic on I-190 from Amherst St/Exit 12 (I-190) to Ontario St/Exit 14 (I-190) due to accident.,I-190 N,Buffalo,Erie,NY,14207,US,US/Eastern,KBUF,2020-10-29 23:29:00,41.0,34.0,89.0,29.05,10.0,NNE,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7551224,Source1,3,2018-08-23 00:00:24,2018-08-23 00:29:48,25.73778,-80.38459,25.7325,-80.38436,0.365,At SR-976/40th St/Exit 23 - Accident.,Florida's Tpke S,Miami,Miami-Dade,FL,33175,US,US/Eastern,KTMB,2018-08-23 00:53:00,79.0,,84.0,30.04,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2229056,Source2,2,2019-03-20 08:10:59,2019-03-20 08:57:02,39.095516,-94.648064,,,0.0,Right hand shoulder blocked due to accident on I-70 Eastbound at 18th St.,I-70 E,Kansas City,Wyandotte,KS,66102,US,US/Central,KNKA,2019-03-20 11:37:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6251839,Source1,2,2021-03-29 07:40:50,2021-03-29 13:40:57,28.449911,-81.480513,28.449397,-81.477944,0.16,Slow traffic on FL-482 from Dr Phillips Blvd to Lake Marie Way due to accident., W Sand Lake Rd,Orlando,Orange,FL,32836,US,US/Eastern,KISM,2021-03-29 07:38:00,70.0,70.0,100.0,30.02,0.5,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6358024,Source1,2,2021-02-08 23:52:00,2021-02-09 01:27:46,27.098573,-82.38450300000002,27.096169,-82.384845,0.1669999999999999,Incident on JACARANDA BLVD near PORTOPALO DR Drive with caution., Jacaranda Blvd,Venice,Sarasota,FL,34292-2404,US,US/Eastern,KVNC,2021-02-08 23:53:00,69.0,69.0,87.0,30.1,10.0,E,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4433896,Source1,2,2023-01-25 14:35:00,2023-01-25 15:50:35,28.467188,-80.801384,28.465082,-80.801399,0.146,Incident on RENA AVE near MIRAMAR ST Drive with caution., Balfern St,Cocoa,Brevard,FL,32927-8280,US,US/Eastern,KTIX,2023-01-25 14:50:00,88.0,88.0,40.0,29.89,7.0,S,18.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-338021,Source2,2,2017-02-24 06:29:28,2017-02-24 07:03:00,37.44928,-122.123245,,,0.01,Accident on US-101 Northbound at Embarcadero Rd /.,US-101 N,Palo Alto,Santa Clara,CA,94303,US,US/Pacific,KPAO,2017-02-24 06:47:00,39.2,,93.0,30.24,10.0,Calm,,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-4624434,Source1,2,2021-12-31 16:09:30.000000000,2021-12-31 17:08:30.000000000,40.838239,-73.933702,40.830638,-73.935185,0.531,Slow traffic from I-95/Amsterdam Ave/Exit 23 (Harlem River Dr) to 8th Ave/155th St/Exit 23 (Harlem River Dr) due to accident.,Harlem River Dr S,New York,New York,NY,10032,US,US/Eastern,KNYC,2021-12-31 15:51:00,51.0,51.0,83.0,29.83,8.0,SW,7.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-775424,Source2,2,2021-12-16 21:29:07,2021-12-16 21:58:46,34.153255,-118.6521,,,0.0,#1 lane blocked due to accident on US-101 Eastbound at Calabasas Rd.,Parkway Calabasas,Calabasas,Los Angeles,CA,91302,US,US/Pacific,KVNY,2021-12-16 21:51:00,51.0,51.0,86.0,29.21,4.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5316151,Source1,2,2023-02-05 21:10:30,2023-02-05 21:37:00,41.387154,-73.497075,41.383508,-73.48432,0.708,Slow traffic on I-84 E from Mill Plain Rd/Old Ridgebury Rd/Exit 2 (I-84) to US-7/Exit 3 (I-84) due to accident.,I-84 E,Danbury,Fairfield,CT,06810,US,US/Eastern,KDXR,2023-02-05 20:53:00,38.0,38.0,60.0,29.52,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5495882,Source1,2,2021-05-29 23:49:40,2021-05-30 02:14:54,34.061732,-81.173354,34.062259000000005,-81.173524,0.038,Incident on QUAIL TRACE DR near AVERY PLACE DR Drive with caution., Avery Place Dr,Columbia,Lexington,SC,29212-2130,US,US/Eastern,KCAE,2021-05-29 23:56:00,69.0,69.0,61.0,29.65,10.0,W,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6062090,Source1,2,2021-11-27 15:20:55,2021-11-27 17:47:10,33.913326,-84.286528,33.9201,-84.331476,2.619,Slow traffic on I-285 W - GA-407 W from US-23/Buford Hwy/Exit 32 (I-285) to Ashford Dunwoody Rd/Exit 29 (I-285) due to accident.,GA-407 W,Atlanta,DeKalb,GA,30360,US,US/Eastern,KPDK,2021-11-27 14:53:00,60.0,,25.0,28.98,10.0,,,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-140961,Source2,2,2016-09-08 11:33:18,2016-09-08 12:18:18,28.465607,-81.27565799999998,,,0.0,Accident on FL-15 Narcoossee Rd at Lee Vista Blvd.,Narcoossee Rd,Orlando,Orange,FL,32829,US,US/Eastern,KMCO,2016-09-08 11:53:00,84.9,,65.0,30.1,10.0,ENE,12.7,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-290837,Source2,2,2016-10-13 21:44:20,2016-10-13 22:30:00,29.653435,-95.445572,,,0.01,Accident on Main St at Holmes Rd.,Town Plaza Dr,Houston,Harris,TX,77045,US,US/Central,KMCJ,2016-10-13 21:35:00,77.0,,74.0,30.07,10.0,East,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2977576,Source2,2,2018-03-29 03:16:00,2018-03-29 04:00:43,33.770603,-117.985657,,,0.0,Accident on CA-22 Eastbound before Exit 8 CA-39 Beach Blvd.,CA-22 E,Garden Grove,Orange,CA,92844,US,US/Pacific,KSLI,2018-03-29 03:29:00,51.8,,94.0,30.04,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1828277,Source2,3,2019-11-18 08:59:27,2019-11-18 09:29:06,32.806572,-96.840332,,,0.0,Accident on Stemmons Fwy Northbound at Medical District Dr.,Medical District Dr,Dallas,Dallas,TX,75207,US,US/Central,KDAL,2019-11-18 08:53:00,51.0,51.0,63.0,29.5,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4106065,Source1,2,2022-11-15 13:59:00,2022-11-15 15:41:55,30.412138,-91.080348,30.411195000000006,-91.07842,0.132,Incident on JEFFERSON HWY near WILLOW BAY DR Drive with caution., Jefferson Hwy,Baton Rouge,East Baton Rouge,LA,70809-2475,US,US/Central,KBTR,2022-11-15 13:53:00,50.0,50.0,74.0,30.1,10.0,N,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4219159,Source1,2,2022-01-28 07:09:30,2022-01-28 12:08:30,33.855694,-117.787199,33.846471,-117.821048,2.044,Slow traffic on Riverside Fwy W - CA-91 W from Weir Canyon Rd/Yorba Linda Blvd (CA-91) to CA-55/Costa Mesa Fwy (CA-91) due to accident.,CA-91 W,Anaheim,Orange,CA,92807,US,US/Pacific,KFUL,2022-01-28 06:53:00,54.0,54.0,23.0,30.13,10.0,E,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4732527,Source1,2,2022-09-22 11:38:00.000000000,2022-09-22 14:23:00.000000000,40.768284,-73.692161,40.772896,-73.679823,0.72,NYSDOT - Region 10: Crash on I-495 westbound between Exit 29 - Springfield Boulevard (New York) and Exit 28 - Oceania Street / Francis Lewis Boulevard - WestBound Only (New York) right lane and entrance ramp closed,Long Island Expy E,Great Neck,Nassau,NY,11020,US,US/Eastern,KLGA,2022-09-22 11:33:00,73.0,73.0,79.0,29.55,4.0,W,23.0,0.03,Heavy T-Storm / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
