ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Duration_sec,Year,Month,Hour,DayOfWeek
A-1301888,Source2,2,2020-09-17 07:20:14,2020-09-17 08:06:00,40.924,-73.823929,0.0,Right hand shoulder blocked due to accident on Cross County Pkwy Westbound at NY-22 Columbus Ave.,Cross County Pkwy W,Mount Vernon,Westchester,NY,10552,US,US/Eastern,KLGA,2020-09-17 06:51:00,67.0,76.0,30.03,10.0,SSW,5.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2746.0,2020,9,7,Thursday
A-2426114,Source2,3,2018-10-31 08:54:16,2018-10-31 09:24:02,34.019218,-86.07461500000002,0.0,Right hand shoulder blocked due to accident on I-59 Southbound at Exit 183 US-431 5th Ave.,I-59 N,Attalla,Etowah,AL,35954,US,US/Central,KGAD,2018-10-31 08:56:00,57.0,93.0,30.2,10.0,Calm,7.685489595665097,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1786.0,2018,10,8,Wednesday
A-5915900,Source1,2,2021-06-10 17:19:56,2021-06-10 19:28:23,25.764586,-80.303949,0.153,Slow traffic from FL-968/W Flagler St (Ludlam Rd/SW 67th Ave) to Coral Way/SW 24th St (Ludlam Rd/SW 67th Ave) due to accident., SW 67th Ave,Miami,Miami-Dade,FL,33144-3605,US,US/Eastern,KMIA,2021-06-10 16:53:00,87.0,59.0,30.0,10.0,E,14.0,Partly Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,7707.0,2021,6,17,Thursday
A-7621253,Source1,2,2018-02-16 14:40:19,2018-02-16 20:40:19,34.271792,-118.47215,0.8640000000000001,At CA-118/Ronald Reagan Fwy - Accident.,San Fernando Mission Blvd,Mission Hills,Los Angeles,CA,91345,US,US/Pacific,KWHP,2018-02-16 14:50:00,71.6,10.0,30.09,10.0,Calm,7.685489595665097,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,21600.0,2018,2,14,Friday
A-7163988,Source1,2,2020-04-08 17:09:01,2020-04-08 18:09:01,35.014520000000005,-85.3251,0.268,At 33rd St - Accident., Broad St,Chattanooga,Hamilton,TN,37409-1028,US,US/Eastern,KCHA,2020-04-08 16:53:00,84.0,46.0,29.04,10.0,WSW,15.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,3600.0,2020,4,17,Wednesday
A-3041746,Source2,2,2018-01-02 06:45:04,2018-01-02 07:16:00,39.740108,-105.001572,0.0,Accident on Colfax Ave Eastbound at Lipan St.,Lipan St,Denver,Denver,CO,80204,US,US/Mountain,KBJC,2018-01-02 06:47:00,15.8,73.0,30.32,25.0,WSW,5.8,Partly Cloudy,False,False,True,False,False,False,True,False,True,False,False,True,False,Night,Night,Day,Day,1856.0,2018,1,6,Tuesday
A-804510,Source2,2,2021-11-25 10:01:56,2021-11-25 10:46:50,42.357304,-73.425461,0.0,Accident on I-90 Westbound before Exit B3 NY-22.,I-90 W,Canaan,Columbia,NY,12029,US,US/Eastern,KPSF,2021-11-25 09:54:00,36.0,62.0,28.74,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2694.0,2021,11,10,Thursday
A-328110,Source2,3,2017-02-09 13:16:55,2017-02-09 14:02:58,42.73262800000001,-73.69811999999997,0.01,Right hand shoulder blocked due to accident on I-787 Northbound at Exit 8 23rd St.,I-787 N,Watervliet,Albany,NY,12189,US,US/Eastern,KALB,2017-02-09 13:28:00,17.1,77.0,29.72,0.2,NNE,12.7,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2763.0,2017,2,13,Thursday
A-2038298,Source2,3,2019-06-07 22:43:48,2019-06-08 01:15:33,40.727497,-73.929047,0.0,Left lane blocked due to accident on I-278 Brooklyn Queens Expy Westbound at Exit 35 I-495 Exits 15 16 17W 17W-E 18.,Brooklyn Queens Expy,Brooklyn,Kings,NY,11222,US,US/Eastern,KNYC,2019-06-07 22:51:00,68.0,78.0,29.85,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,9105.0,2019,6,22,Friday
A-6873656,Source1,2,2020-11-12 22:46:00,2020-11-14 01:15:04,32.398159,-93.734573,0.085,Incident on DALTON ST near FORBING RD Drive with caution., Forbing Rd,Shreveport,Caddo,LA,71106-7416,US,US/Central,KSHV,2020-11-12 22:53:00,62.0,70.0,29.86,10.0,SE,3.0,Fair,False,False,True,False,False,False,True,False,False,False,False,False,False,Night,Night,Night,Night,95344.0,2020,11,22,Thursday
A-773158,Source2,3,2021-12-18 12:30:11,2021-12-18 13:29:32,41.577408,-87.582329,0.0,Two lanes blocked due to accident on I-294 Tri-State Tollway Northbound at Exit 161 / IL-394 Bishop Ford Fwy.,Bishop Ford Fwy S,Thornton,Cook,IL,60476,US,US/Central,KIGQ,2021-12-18 12:35:00,37.0,86.0,29.37,10.0,N,14.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,3561.0,2021,12,12,Saturday
A-1472578,Source2,2,2020-05-18 19:21:18,2020-05-18 20:06:52,39.74728,-84.265831,0.0,Accident on 3rd St at Mia Ave.,W 3rd St,Dayton,Montgomery,OH,45417-9046,US,US/Eastern,KDAY,2020-05-18 19:11:00,61.0,93.0,28.72,2.0,E,7.0,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2734.0,2020,5,19,Monday
A-7681800,Source1,3,2017-09-12 07:50:21,2017-09-12 13:50:21,39.779559000000006,-105.13801200000002,0.153,At at CO-72/44th Ave/Ward Rd/Exit 266 - Accident.,I-70 E,Wheat Ridge,Jefferson,CO,80033,US,US/Mountain,KBJC,2017-09-12 07:47:00,62.6,48.0,30.22,12.0,Calm,7.685489595665097,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,21600.0,2017,9,7,Tuesday
A-7430799,Source1,2,2019-03-21 19:09:58,2019-03-21 19:39:03,39.7114,-74.98283,1.7719999999999998,Between CR-536-SPUR/Exit 38 and Atlantic City Expy - Accident. in the left lane.,Atlantic City Expy W,Sicklerville,Camden,NJ,08081,US,US/Eastern,KVAY,2019-03-21 19:05:00,48.9,90.0,29.69,7.0,East,10.4,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1745.0,2019,3,19,Thursday
A-5878490,Source1,2,2021-10-14 14:05:00,2021-10-14 15:23:40,34.572677,-117.934218,0.076,Incident on 110TH ST EB near E AVENUE R Drive with caution., 110th St E,Littlerock,Los Angeles,CA,93543-1401,US,US/Pacific,KPMD,2021-10-14 13:53:00,71.0,16.0,27.41,10.0,NNE,7.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,4720.0,2021,10,14,Thursday
A-5002351,Source1,2,2022-01-03 16:03:12,2022-01-04 16:57:02,46.98297,-109.7322,0.397,Construction on US-87 NB near MP 65 Drive with caution.,US Highway 87,Moore,Fergus,MT,59464,US,US/Mountain,KLWT,2022-01-03 15:54:00,43.0,28.0,25.36,10.0,VAR,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,89630.0,2022,1,16,Monday
A-1398951,Source2,3,2020-07-24 07:54:34,2020-07-24 11:55:36,40.761238,-105.176529,0.0,Lane blocked slow traffic reopened for through traffic and single alternate line traffic due to serious accident on US-287 both ways at CR-72.,US Highway 287,Laporte,Larimer,CO,80535-9745,US,US/Mountain,KFNL,2020-07-24 07:56:00,68.0,78.0,24.99,10.0,NNE,5.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14462.0,2020,7,7,Friday
A-3940892,Source1,2,2022-07-26 19:18:50,2022-07-26 21:03:50,32.794051,-86.577545,0.236,Incident on I-65 SB near MM 204 Left shoulder closed.,I-65 S,Clanton,Chilton,AL,35045,US,US/Central,KEET,2022-07-26 18:53:00,87.0,61.0,29.44,10.0,SW,3.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6300.0,2022,7,19,Tuesday
A-5532759,Source1,2,2021-12-17 17:11:41,2021-12-17 19:27:58,33.916432,-118.269085,0.24,Slow traffic from S San Pedro St to E 126th St due to accident., E El Segundo Blvd,Los Angeles,Los Angeles,CA,90061-2739,US,US/Pacific,KHHR,2021-12-17 16:53:00,61.0,48.0,30.04,10.0,W,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,8177.0,2021,12,17,Friday
A-6868032,Source1,2,2020-12-10 18:31:00,2020-12-10 20:11:10,27.95558,-82.70807099999998,2.44,Incident on BAYSIDE BRG near CR-611 Drive with caution.,Bayside Bridge,Clearwater,Pinellas,FL,33759,US,US/Eastern,KPIE,2020-12-10 18:53:00,62.0,75.0,30.15,10.0,NNW,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,6010.0,2020,12,18,Thursday
A-2775631,Source2,2,2018-06-21 01:21:26,2018-06-21 02:06:04,37.317062,-121.94059,0.0,Lane blocked due to accident on CA-17 Northbound at I-280.,I-880 S,San Jose,Santa Clara,CA,95128,US,US/Pacific,KSJC,2018-06-21 00:53:00,57.0,81.0,30.02,10.0,NW,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2678.0,2018,6,1,Thursday
A-6476775,Source1,2,2021-02-08 23:50:38,2021-02-09 01:33:01,32.346642,-95.295358,0.062,Incident on E FRONT ST near S BECKHAM AVE Drive with caution., E Front St,Tyler,Smith,TX,75702-8214,US,US/Central,KTYR,2021-02-08 23:53:00,56.0,93.0,29.42,10.0,W,5.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,6143.0,2021,2,23,Monday
A-5292876,Source1,4,2022-05-15 01:18:02,2022-05-15 02:38:22,39.831989,-104.982731,0.117,Incident on I-25 NB near MP 217 Road closed. Take alternate route.,I-25 N,Denver,Adams,CO,80229,US,US/Mountain,KBJC,2022-05-15 01:15:00,63.0,26.0,24.46,10.0,NNW,12.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,4820.0,2022,5,1,Sunday
A-2317359,Source2,2,2019-01-04 18:09:34,2019-01-04 18:39:20,35.70335,-78.58886700000002,0.0,Accident on Garner Rd at Jones Sausage Rd.,E Garner Rd,Garner,Wake,NC,27529-9579,US,US/Eastern,KRDU,2019-01-04 18:17:00,52.0,100.0,29.68,0.2,ESE,19.6,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,1786.0,2019,1,18,Friday
A-3490064,Source1,2,2016-08-16 06:23:59,2016-08-16 12:23:59,41.96595,-87.86157,0.0,At River Rd - Accident.,Lawrence Ave,Schiller Park,Cook,IL,60176,US,US/Central,KORD,2016-08-16 06:47:00,71.6,94.0,29.99,10.0,NW,8.1,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,21600.0,2016,8,6,Tuesday
A-3583450,Source1,3,2017-03-24 18:15:48,2017-03-25 00:15:48,26.00223,-80.1671,0.648,At SR-824/Pembroke Rd/Exit 19 - Accident.,I-95 S,Hollywood,Broward,FL,33020,US,US/Eastern,KFLL,2017-03-24 17:53:00,75.0,60.0,30.19,10.0,East,20.7,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,21600.0,2017,3,18,Friday
A-6363427,Source1,2,2021-02-02 21:38:00,2021-02-02 23:37:12,26.759894,-82.03846800000002,0.063,Incident on BURNT STORE RD near CHARLEE RD Drive with caution., Charlee Rd,Punta Gorda,Lee,FL,33955-1902,US,US/Eastern,KPGD,2021-02-02 21:53:00,51.0,71.0,30.03,10.0,NW,9.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,7152.0,2021,2,21,Tuesday
A-7002389,Source1,2,2020-06-04 18:28:00,2020-06-04 19:41:05,34.182398,-117.273713,0.0,At N Sierra Way - Accident.,Rim of the World Hwy,San Bernardino,San Bernardino,CA,92404,US,US/Pacific,KSBD,2020-06-04 17:45:00,84.0,35.0,28.56,6.0,WSW,14.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,4385.0,2020,6,18,Thursday
A-37803,Source2,3,2016-05-09 13:30:33,2016-05-09 14:00:33,37.33585,-122.058731,0.01,Right hand shoulder blocked due to accident on CA-85 Northbound at I-280.,Norman Y Mineta Hwy,Cupertino,Santa Clara,CA,95014,US,US/Pacific,KNUQ,2016-05-09 13:56:00,69.1,57.0,29.97,10.0,North,11.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1800.0,2016,5,13,Monday
A-470961,Source2,2,2017-06-05 11:01:01,2017-06-05 11:30:44,42.026382,-87.80214699999998,0.0199999995529651,Accident on Waukegan Rd at Oakton St.,N Waukegan Rd,Niles,Cook,IL,60714,US,US/Central,KORD,2017-06-05 10:51:00,69.1,63.0,29.86,10.0,NE,18.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,1783.0,2017,6,11,Monday
A-5954579,Source1,2,2021-06-03 05:17:03,2021-06-03 07:20:24,43.651483,-94.012861,4.513999999999999,Incident on I-90 EB near US-169 Drive with caution.,I-90 E,Blue Earth,Faribault,MN,56013,US,US/Central,KFRM,2021-06-03 04:56:00,66.0,43.0,28.64,10.0,W,14.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,7401.0,2021,6,5,Thursday
A-4328520,Source1,2,2022-09-16 09:39:00,2022-09-16 11:37:00,33.85445900000001,-117.796672,1.726,Slow traffic on Riverside Fwy W - CA-91 W from CA-90/Imperial Hwy (CA-91) to CA-55/Costa Mesa Fwy (CA-91) due to accident.,CA-91 W,Anaheim,Orange,CA,92807,US,US/Pacific,KFUL,2022-09-16 09:34:00,72.0,68.0,29.84,10.0,CALM,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7080.0,2022,9,9,Friday
A-7066434,Source1,2,2020-06-28 22:36:00,2020-06-28 23:27:27,34.15489,-118.288794,0.0,At CA-134/Ventura Fwy - Accident.,Golden State Fwy S,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,2020-06-28 22:52:00,65.0,78.0,29.61,10.0,W,3.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,3087.0,2020,6,22,Sunday
A-7607818,Source1,4,2018-03-20 13:14:25,2018-03-20 19:14:25,38.94201,-94.70704,0.103,Ramp closed to I-435 and US-69 Southbound - Road closed due to accident., W 103rd St,Overland Park,Johnson,KS,66214,US,US/Central,KOJC,2018-03-20 12:53:00,46.9,54.0,29.97,10.0,NW,12.7,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,21600.0,2018,3,13,Tuesday
A-4173576,Source1,2,2022-07-22 11:11:52,2022-07-22 19:47:46,40.583924,-73.966876,7.437,Slow traffic on Belt Pkwy E from Ocean Pkwy/Exit 7 (Leif Ericson Dr/Belt Pkwy/Shore Pkwy/State Pkwy 907C) to Crossbay Blvd/Exit 17 (Belt Pkwy) due to accident.,Ocean Pkwy,Brooklyn,Kings,NY,11223,US,US/Eastern,KJRB,2022-07-22 10:51:00,85.0,51.0,29.79,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,30954.0,2022,7,11,Friday
A-4479779,Source1,2,2023-01-17 19:37:00,2023-01-17 20:30:00,30.419025,-91.085934,1.412,Stationary traffic on I-12 E from Drusilla Ln (I-12) to S Sherwood Forest Blvd (I-12) due to accident.,I-12 E,Baton Rouge,East Baton Rouge,LA,70809,US,US/Central,KBTR,2023-01-17 19:53:00,70.0,81.0,29.81,10.0,S,7.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,3180.0,2023,1,19,Tuesday
A-3174268,Source2,3,2017-11-08 17:04:44,2017-11-08 17:49:05,41.592293,-93.77108,1.809999942779541,Accident on I-235 Westbound between Exit 1B Valley West Dr and Exits 1A 123A 123B I-80 I-35.,I-235 W,West des Moines,Polk,IA,50266,US,US/Central,KDSM,2017-11-08 16:54:00,45.0,48.0,30.21,10.0,SSW,9.2,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2661.0,2017,11,17,Wednesday
A-2090452,Source2,3,2019-05-08 06:50:04,2019-05-08 08:07:08,39.106598,-94.569656,0.0,Left lane blocked due to accident on I-70 Westbound at I-35.,US-71 N,Kansas City,Jackson,MO,64106,US,US/Central,KMKC,2019-05-08 06:54:00,65.0,90.0,28.86,10.0,ESE,12.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,4624.0,2019,5,6,Wednesday
A-6243366,Source1,2,2021-12-15 18:16:00,2021-12-15 19:34:24,34.06647,-118.000293,0.779,Incident on I-605 NB near TELEGRAPH RD Drive with caution.,I-605 N,Baldwin Park,Los Angeles,CA,91706,US,US/Pacific,KEMT,2021-12-15 17:53:00,53.0,52.0,30.1,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,4704.0,2021,12,18,Wednesday
A-4155679,Source1,2,2022-09-23 14:39:05,2022-09-23 17:09:37,44.873041,-93.143763,3.213,Slow traffic on I-35E N from I-494/Exit 99 (I-35E) to Randolph Ave/Exit 104A (I-35E) due to accident.,I-35E N,Saint Paul,Dakota,MN,55120,US,US/Central,KMSP,2022-09-23 14:53:00,56.0,75.0,29.12,10.0,S,13.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9032.0,2022,9,14,Friday
A-7345246,Source1,2,2019-10-17 19:27:00,2019-10-17 21:00:28,32.657115000000005,-117.08374,0.0,At I-805 - Accident.,CA-54 E,Chula Vista,San Diego,CA,91910,US,US/Pacific,KNRS,2019-10-17 19:56:00,67.0,70.0,29.81,10.0,S,8.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,5608.0,2019,10,19,Thursday
A-7511120,Source1,2,2018-11-28 16:57:37,2018-11-28 17:26:53,37.66597,-122.39627,0.157,Between Oyster Point Blvd/Exit 425B and Bayshore Blvd - Accident.,US-101 N,South San Francisco,San Mateo,CA,94080,US,US/Pacific,KSFO,2018-11-28 16:56:00,57.9,84.0,29.76,10.0,East,3.5,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,1756.0,2018,11,16,Wednesday
A-1089524,Source2,2,2021-04-08 18:13:19,2021-04-08 20:06:37,42.307152,-71.082336,0.0,Accident on Washington St at Bilodeau Rd.,Washington St,Dorchester,Suffolk,MA,02121-3105,US,US/Eastern,KBOS,2021-04-08 17:54:00,51.0,71.0,30.11,10.0,ESE,10.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6798.0,2021,4,18,Thursday
A-2940454,Source2,2,2018-03-12 18:51:14,2018-03-12 19:36:03,34.955345,-120.489616,0.0,Accident on CA-166 Main St at Black Rd.,W Main St,Santa Maria,Santa Barbara,CA,93458-9746,US,US/Pacific,KSMX,2018-03-12 18:51:00,63.0,75.0,30.04,10.0,South,8.1,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2689.0,2018,3,18,Monday
A-3074025,Source2,3,2018-01-17 13:34:43,2018-01-17 14:04:27,37.764023,-122.216843,0.0,#1 lane blocked due to accident on I-880 Northbound at Exit 38 CA-77 42nd Ave.,I-880 N,Oakland,Alameda,CA,94601,US,US/Pacific,KOAK,2018-01-17 13:53:00,57.0,87.0,30.22,6.0,WNW,10.4,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1784.0,2018,1,13,Wednesday
